timestamp,test-class,test-method,time,description,result
2021-06-07 21:14:34.708,acme.testing.authenticated.task.AuthenticatedListTaskTest,negativeAuthenticatedListandShowTask,5187,"[1] recordIndex=0, title=Texample, startMoment=2021/05/05 13:59, endMoment=2021/05/05 14:00, description=0.01, workload=Hi just trying tasks, status=null, link=false, id=27",OK
2021-06-07 21:14:39.465,acme.testing.authenticated.task.AuthenticatedListTaskTest,negativeAuthenticatedListandShowTask,4399,"[2] recordIndex=1, title=Texample, startMoment=2021/05/05 00:00, endMoment=2021/05/05 02:00, description=0.01, workload=Hi just trying tasks, status=http://1happybirthday.com, link=false, id=27",OK
2021-06-07 21:14:44.116,acme.testing.authenticated.task.AuthenticatedListTaskTest,negativeAuthenticatedListandShowTask,4355,"[3] recordIndex=2, title=Texample, startMoment=2021/05/04 23:00, endMoment=2021/05/05 02:00, description=1.50, workload=Hi just trying tasks, status=http://1happybirthday.com, link=false, id=27",OK
2021-06-07 21:14:48.931,acme.testing.authenticated.task.AuthenticatedListTaskTest,negativeAuthenticatedListandShowTask,4512,"[4] recordIndex=3, title=Texample, startMoment=2021/05/05 00:00, endMoment=2021/05/05 03:00, description=1.50, workload=Hi just trying tasks, status=http://1happybirthday.com, link=false, id=27",OK
2021-06-07 21:14:53.778,acme.testing.authenticated.task.AuthenticatedListTaskTest,negativeAuthenticatedListandShowTask,4490,"[5] recordIndex=4, title=Texample, startMoment=2021/05/05 00:00, endMoment=2021/05/05 02:00, description=2.00, workload=Hi just trying tasks, status=http://1happybirthday.com, link=false, id=27",OK
2021-06-07 21:14:58.336,acme.testing.authenticated.task.AuthenticatedListTaskTest,negativeAuthenticatedListandShowTask,4235,"[6] recordIndex=5, title=Texample, startMoment=2021/05/05 00:00, endMoment=2021/05/05 10:00, description=9.40, workload=Hi just trying tasks, status=http://1happybirthday.com, link=false, id=27",OK
2021-06-07 21:15:08.065,acme.testing.authenticated.task.AuthenticatedListTaskTest,listAll,9446,"[1] recordIndex=0, title=Texample, start_date=2021/05/05 13:59, end_date=2021/05/05 14:00, workload=0.01, description=Hi just trying tasks, op_link=null, is_private=false",OK
2021-06-07 21:15:14.368,acme.testing.authenticated.task.AuthenticatedListTaskTest,listAll,6010,"[2] recordIndex=1, title=Texample, start_date=2021/05/05 00:00, end_date=2021/05/05 02:00, workload=0.01, description=Hi just trying tasks, op_link=http://1happybirthday.com, is_private=false",OK
2021-06-07 21:15:20.602,acme.testing.authenticated.task.AuthenticatedListTaskTest,listAll,5931,"[3] recordIndex=2, title=Texample, start_date=2021/05/04 23:00, end_date=2021/05/05 02:00, workload=1.50, description=Hi just trying tasks, op_link=http://1happybirthday.com, is_private=false",OK
2021-06-07 21:15:26.768,acme.testing.authenticated.task.AuthenticatedListTaskTest,listAll,5876,"[4] recordIndex=3, title=Texample, start_date=2021/05/05 00:00, end_date=2021/05/05 03:00, workload=1.50, description=Hi just trying tasks, op_link=http://1happybirthday.com, is_private=false",OK
2021-06-07 21:15:32.984,acme.testing.authenticated.task.AuthenticatedListTaskTest,listAll,5939,"[5] recordIndex=4, title=Texample, start_date=2021/05/05 00:00, end_date=2021/05/05 02:00, workload=2.00, description=Hi just trying tasks, op_link=http://1happybirthday.com, is_private=false",OK
2021-06-07 21:15:39.208,acme.testing.authenticated.task.AuthenticatedListTaskTest,listAll,5917,"[6] recordIndex=5, title=Texample, start_date=2021/05/05 00:00, end_date=2021/05/05 10:00, workload=9.40, description=Hi just trying tasks, op_link=http://1happybirthday.com, is_private=false",OK
